"","Name","Elevation","Replicate_num","Info.available.on.when.barnacle.first.present.","Month.added.to.dataset..Feb..Aug..Mar.","Month.first.present..Feb..Aug..Mar..Unk...if.covered.previously..etc.....","X18FebAfter_Barnacle_num","X18FebAfter_photo_num","X18FebAfter_X_pixels","X18FebAfter_Y_pixels","X18FebAfter_Angle_pixels","X18FebAfter_Length_pixels","X18FebAfter_notes","X18AugBefore_Survived...Dead..Alive..Absent..New..Covered.by.left.right.top.bottom.","New.August.ROI.barnacle.number..optional.","X18AugBefore_photo_num","X18AugBefore_X_pixels","X18AugBefore_Y_pixels","X18AugBefore_Angle_pixels","X18AugBefore_Length_pixels","X18AugBefore_notes","X18AugAfter_photo_num","X18AugAfter_Removed...Y...N..or.covered.by.left.right.top.bottom.","X18AugAfter_Removed_notes","Time2Start_Include_1","Time2Start_X_pixels","Time2Start_Y_pixels","Time2Start_Angle_pixels","Time2Start_Length_pixels","X19Mar_Survived...Dead..Alive..Alive.Blurry..Absent..Covered.by.right.left.top.bottom..New.","X19Mar_barnacle_num..optional.","X19Mar_photo_num","X19Mar_X_pixels","X19Mar_Y_pixels","X19Mar_Angle_pixels","X19Mar_Length_pixels","generated_uid","ID","Feb.scale","Aug.scale","Mar.scale","Feb.pixel_per_cm","Aug.pixel_per_cm","Mar.pixel_per_cm","Feb.Length","Feb.X","Feb.Y","Aug.Length","Aug.X","Aug.Y","Mar.Length","Mar.X","Mar.Y","change.Y.Aug.Feb","change.Y.Mar.Aug","growth.Aug.Feb","growth.Mar.Aug","y_init.plot","y_del.plot","rep","phot_1","phot_2"
"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","Elizabeth ","Upper",7,"N","Feb","","15",4773,2423.333,1388.333,115.463,46.519,"","Alive","",5136,2423.667,1380,-62.879,45.617,"","5208","N","",1,2423.667,1380,-62.879,"45.617","Alive","",5425,1904.667,1710.667,,60.868,14,"Upper.7.14",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.210665907874706,10.9743039731665,6.28720376356787,0.205271470848964,10.9062342972597,6.20984785872746,0.278506651374048,8.71496399015334,7.82730067993179,-0.0773559048404113,1.61745282120433,-0.00539443702574152,0.0732351805250837,567.833,18.3330000000001,"4773","4773 5136","5136 5425"
"18","Elizabeth ","Upper",7,"N","Feb","","19",4773,2062.333,1030,3.302,52.068,"","Alive","",5136,2071,1034,5.906,58.31,"","5208","N","",1,2071,1034,5.906,"58.31","Alive","",5425,1492,1370,,64.031,18,"Upper.7.18",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.235795105037085,9.33947964885241,4.66445721341703,0.262388571479999,9.31927167784389,4.65288600429289,0.292979223797918,6.82677143737398,6.26855018043053,-0.0115712091241367,1.61566417613764,0.0265934664429133,0.0305906523179191,209.5,6,"4773","4773 5136","5136 5425"
"19","Elizabeth ","Upper",7,"N","Feb","","20",4773,2132,1099,48.013,40.585,"","Alive","",5136,2149,1095.333,49.538,44.905,"","5208","N","",1,2149,1095.333,49.538,"44.905","Alive","",5425,1583,1432,,48.332,19,"Upper.7.19",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.18379320000634,9.65497357184962,4.97693056072361,0.202067549345041,9.67026307855457,4.92887774249531,0.221147129431072,7.24314958804491,6.55223639297556,-0.0480528182283004,1.62335865048025,0.018274349338701,0.0190795800860308,278.5,13.6669999999999,"4773","4773 5136","5136 5425"
"20","Elizabeth","Upper",7,"N","Feb","","21",4773,2338.333,1171,-60.524,52.515,"","Alive","",5136,2341.667,1162,86.348,47.408,"","5208","N","",1,2341.667,1162,86.348,"47.408","Alive","",5425,1797.333,1485.667,,61.464,20,"Upper.7.20",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.237819388895724,10.5893730380787,5.30298970573917,0.213330773396052,10.5372433375382,5.22887189263863,0.281233699481739,8.22384824922901,6.79779426343773,-0.0741178131005382,1.5689223707991,-0.0244886154996719,0.067902926085687,350.5,19,"4773","4773 5136","5136 5425"
"21","Elizabeth ","Upper",7,"N","Feb","","22",4773,2281.333,1305,99.728,35.839,"","Alive","",5136,2280,1295.333,-87.51,46.043,"","5208","N","",1,2280,1295.333,-87.51,"46.043","Alive","",5425,1742,1627.667,,60.531,21,"Upper.7.21",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.162300468030731,10.3312428816081,5.90982200340702,0.207188423883615,10.2597486361584,5.82885569303552,0.276964679541343,7.97066745570072,7.44752720184731,-0.0809663103714948,1.61867150881179,0.0448879558528838,0.0697762556577286,484.5,19.6669999999999,"4773","4773 5136","5136 5425"
"22","Elizabeth ","Upper",7,"N","Feb","","23",4773,2236.667,1017.667,124.077,41.236,"","Alive","",5136,2252,1015.667,111.801,48.776,"","5208","N","",1,2252,1015.667,111.801,"48.776","Alive","",5425,1694,1334,,51.264,22,"Upper.7.22",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.186741318109189,10.1289684681183,4.60860599903541,0.219486622577747,10.1337517230828,4.57038952545663,0.234562741934008,7.75103942018199,6.10382915379148,-0.0382164735787818,1.53343962833485,0.0327453044685578,0.015076119356261,197.167,12,"4773","4773 5136","5136 5425"
"23","Elizabeth ","Upper",7,"N","Feb","","24",4773,2168,965.667,93.731,46.121,"","Alive","",5136,2179.667,958.333,98.82,58.088,"","5208","N","",1,2179.667,958.333,98.82,"58.088","Alive","",5425,1607,1281,,52.498,23,"Upper.7.23",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.208863525378647,9.8180031443574,4.37311883874639,0.261389595954899,9.80826119760066,4.31239284637526,0.240209012680469,7.35296360580428,5.86132319790621,-0.0607259923711299,1.54893035153095,0.0525260705762516,-0.0211805832744304,145.167,17.3340000000001,"4773","4773 5136","5136 5425"
"29","Elizabeth ","Upper",7,"N","Feb","","30",4773,2728.333,974,104.47,31.531,"","Alive","",5136,2747.5,983.25,-81.87,57.064,"","5208","N","",1,2747.5,983.25,-81.87,"57.064","Alive","",5425,2208,1274.667,,59.21,29,"Upper.7.29",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.142791262520633,12.3555267402463,4.41085565618271,0.256781708848133,12.3634470955462,4.42451659934332,0.270920332980505,10.1028896338618,5.83234602396996,0.0136609431606081,1.40782942462664,0.1139904463275,0.0141386241323717,153.5,0.75,"4773","4773 5136","5136 5425"
"30","Elizabeth ","Upper",7,"N","Feb","","31",4773,2742.333,1138,127.747,38.534,"","Alive","",5136,2757,1126.75,119.954,68.529,"","5208","N","",1,2757,1126.75,119.954,"68.529","Alive","",5425,2230.667,1410,,80.587,30,"Upper.7.30",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.174505042972633,12.4189271295549,5.15354593094037,0.308372944862851,12.4061960481968,5.07025077885592,0.368732593715588,10.2066043980514,6.45157354336281,-0.0832951520844523,1.38132276450689,0.133867901890218,0.060359648852737,317.5,21.25,"4773","4773 5136","5136 5425"
"46","Elizabeth ","Upper",7,"N","Feb","","47",4773,2913,875.5,99.728,35.511,"","Alive","",5136,2925.333,864.333,-77.005,52.57,"","5208","N","",1,2925.333,864.333,-77.005,"52.57","Alive","",5425,2367.667,1125.667,,66.198,46,"Upper.7.46",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.160815087481216,13.1918095754212,3.96478863140448,0.236559204299495,13.1636759899382,3.88940320962136,0.302894514484774,10.8334594160945,5.15058399704722,-0.0753854217831127,1.26118078742586,0.0757441168182789,0.0663353101852793,55,21.167,"4773","4773 5136","5136 5425"
"83","Elizabeth ","Upper",7,"N","Aug","","New 10",,,,,,"","New","NewA10",5136,1927,1324.333,102.095,27.984,"10","","","",0,,,,,"Alive","",5425,1391,1708.5,-84.428,41.195,83,"Upper.7.83",,1333.366,1311.308,,222.227666666667,218.551333333333,,,,0.125924914839586,8.67128755345494,5.95935249586385,0.18849118589988,6.36463744596998,7.81738538924494,,1.85803289338109,,0.0625662710602937,,,,"NA 5136","5136 5425"
