"","Name","Elevation","Replicate_num","Info.available.on.when.barnacle.first.present.","Month.added.to.dataset..Feb..Aug..Mar.","Month.first.present..Feb..Aug..Mar..Unk...if.covered.previously..etc.....","X18FebAfter_Barnacle_num","X18FebAfter_photo_num","X18FebAfter_X_pixels","X18FebAfter_Y_pixels","X18FebAfter_Angle_pixels","X18FebAfter_Length_pixels","X18FebAfter_notes","X18AugBefore_Survived...Dead..Alive..Absent..New..Covered.by.left.right.top.bottom.","New.August.ROI.barnacle.number..optional.","X18AugBefore_photo_num","X18AugBefore_X_pixels","X18AugBefore_Y_pixels","X18AugBefore_Angle_pixels","X18AugBefore_Length_pixels","X18AugBefore_notes","X18AugAfter_photo_num","X18AugAfter_Removed...Y...N..or.covered.by.left.right.top.bottom.","X18AugAfter_Removed_notes","Time2Start_Include_1","Time2Start_X_pixels","Time2Start_Y_pixels","Time2Start_Angle_pixels","Time2Start_Length_pixels","X19Mar_Survived...Dead..Alive..Alive.Blurry..Absent..Covered.by.right.left.top.bottom..New.","X19Mar_barnacle_num..optional.","X19Mar_photo_num","X19Mar_X_pixels","X19Mar_Y_pixels","X19Mar_Angle_pixels","X19Mar_Length_pixels","generated_uid","ID","Feb.scale","Aug.scale","Mar.scale","Feb.pixel_per_cm","Aug.pixel_per_cm","Mar.pixel_per_cm","Feb.Length","Feb.X","Feb.Y","Aug.Length","Aug.X","Aug.Y","Mar.Length","Mar.X","Mar.Y","change.Y.Aug.Feb","change.Y.Mar.Aug","growth.Aug.Feb","growth.Mar.Aug","y_init.plot","y_del.plot","rep","phot_1","phot_2"
"11","Elizabeth ","Upper",7,"N","Feb","Feb","1",4773,1790.5,820.5,-3.366,51.088,"","Alive","",5136,1818.5,830.5,179.029,59.008,"","5208","N","",1,1818.5,830.5,179.029,"59.008","Covered by left","",5425,,,,,1,"Upper.7.1",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.231357077785485,8.10845693264388,3.71571567340648,0.265529494527384,8.18304951528687,3.73715843961823,,,,0.0214427662117496,,0.0341724167418993,,0,0,"4773","4773 5136","5136 5425"
"2","Elizabeth ","Upper",7,"N","Feb","","2",4773,1482.5,789.5,135,24.042,"","Alive","",5136,1515.5,807,118.968,64.008,"","5208","Y","",0,,,,,"Absent","",5425,,,,,2,"Upper.7.2",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.108876582839779,6.7136483678551,3.57532909708034,0.288028943290889,6.81958292021845,3.63141103042975,,,,0.056081933349418,,0.17915236045111,,-31,-7.5,"4773","4773 5136","5136 5425"
"9","Elizabeth ","Upper",7,"N","Feb","","9",4773,1865.667,1842,98.915,51.953,"","Alive","",5136,1869,1801.5,106.798,55.362,"","5208","Y","",0,,,,,"Absent","",5425,,,,,9,"Upper.7.9",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.235274316124908,8.44885815144089,8.34167979331473,0.249122896489036,8.41029394779828,8.10655138949096,,,,-0.235128403823774,,0.0138485803641282,,1021.5,50.5,"4773","4773 5136","5136 5425"
"10","Elizabeth ","Upper",7,"N","Feb","","11",4773,2128.333,1550,7.667,53.175,"","Alive","",5136,2134,1534.5,-2.961,58.078,"","5208","Y","",0,,,,,"Dead","",5425,,,,,10,"Upper.7.10",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.2408082643917,9.63836719845001,7.01932881630718,0.261344597057372,9.60276473226406,6.90508082551977,,,,-0.114247990787409,,0.0205363326656725,,729.5,25.5,"4773","4773 5136","5136 5425"
"13","Elizabeth ","Upper",7,"N","Feb","","14",4773,2325.667,1468.333,-99.462,18.306,"","Alive","",5136,2319.667,1470.333,154.359,27.753,"","5208","N","",1,2319.667,1470.333,154.359,"27.753","Dead","",5425,,,,,13,"Upper.7.13",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.082900537620206,10.5320138001514,6.64949170247405,0.124885440306712,10.4382457629788,6.61633639975821,,,,-0.0331553027158433,,0.0419849026865065,,647.833,8,"4773","4773 5136","5136 5425"
"14","Elizabeth ","Upper",7,"N","Feb","","15",4773,2423.333,1388.333,115.463,46.519,"","Alive","",5136,2423.667,1380,-62.879,45.617,"","5208","N","",1,2423.667,1380,-62.879,"45.617","Alive","",5425,1904.667,1710.667,,60.868,14,"Upper.7.14",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.210665907874706,10.9743039731665,6.28720376356787,0.205271470848964,10.9062342972597,6.20984785872746,0.278506651374048,8.71496399015334,7.82730067993179,-0.0773559048404113,1.61745282120433,-0.00539443702574152,0.0732351805250837,567.833,18.3330000000001,"4773","4773 5136","5136 5425"
"18","Elizabeth ","Upper",7,"N","Feb","","19",4773,2062.333,1030,3.302,52.068,"","Alive","",5136,2071,1034,5.906,58.31,"","5208","N","",1,2071,1034,5.906,"58.31","Alive","",5425,1492,1370,,64.031,18,"Upper.7.18",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.235795105037085,9.33947964885241,4.66445721341703,0.262388571479999,9.31927167784389,4.65288600429289,0.292979223797918,6.82677143737398,6.26855018043053,-0.0115712091241367,1.61566417613764,0.0265934664429133,0.0305906523179191,209.5,6,"4773","4773 5136","5136 5425"
"19","Elizabeth ","Upper",7,"N","Feb","","20",4773,2132,1099,48.013,40.585,"","Alive","",5136,2149,1095.333,49.538,44.905,"","5208","N","",1,2149,1095.333,49.538,"44.905","Alive","",5425,1583,1432,,48.332,19,"Upper.7.19",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.18379320000634,9.65497357184962,4.97693056072361,0.202067549345041,9.67026307855457,4.92887774249531,0.221147129431072,7.24314958804491,6.55223639297556,-0.0480528182283004,1.62335865048025,0.018274349338701,0.0190795800860308,278.5,13.6669999999999,"4773","4773 5136","5136 5425"
"20","Elizabeth","Upper",7,"N","Feb","","21",4773,2338.333,1171,-60.524,52.515,"","Alive","",5136,2341.667,1162,86.348,47.408,"","5208","N","",1,2341.667,1162,86.348,"47.408","Alive","",5425,1797.333,1485.667,,61.464,20,"Upper.7.20",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.237819388895724,10.5893730380787,5.30298970573917,0.213330773396052,10.5372433375382,5.22887189263863,0.281233699481739,8.22384824922901,6.79779426343773,-0.0741178131005382,1.5689223707991,-0.0244886154996719,0.067902926085687,350.5,19,"4773","4773 5136","5136 5425"
"21","Elizabeth ","Upper",7,"N","Feb","","22",4773,2281.333,1305,99.728,35.839,"","Alive","",5136,2280,1295.333,-87.51,46.043,"","5208","N","",1,2280,1295.333,-87.51,"46.043","Alive","",5425,1742,1627.667,,60.531,21,"Upper.7.21",1324.913,1333.366,1311.308,220.818833333333,222.227666666667,218.551333333333,0.162300468030731,10.3312428816081,5.90982200340702,0.207188423883615,10.2597486361584,5.82885569303552,0.276964679541343,7.97066745570072,7.44752720184731,-0.0809663103714948,1.61867150881179,0.0448879558528838,0.0697762556577286,484.5,19.6669999999999,"4773","4773 5136","5136 5425"
