,filename,total_umol,Date,Pop,Block,Temp,Barnacle,Operc,Start time,End time,Cut mins,Total,Minutes,Respiration Rate
14,1_A18_5.csv,0.011446506,4/18/17,Friday Harbor,5,20,W01,5.11,14:03:11,15:10:01,0,1:06:50,66.83,0.000171269
34,1_Y03_5.csv,0.266703544,5/3/17,Friday Harbor,5,26,W01,5.11,11:23:49,12:35:19,0,1:11:30,71.5,0.003730119
40,1_Y17_5.csv,0.01612126,5/17/17,Friday Harbor,5,23,W01,5.11,11:34:08,12:37:38,0,1:03:30,63.5,0.000253878
8,1_A11_7.csv,0.09897919,4/11/17,Friday Harbor,7,5,W02,5.99,16:15:09,17:10:29,0,0:55:20,55.33,0.001788781
35,1_Y03_7.csv,0.400442299,5/3/17,Friday Harbor,7,26,W02,5.99,13:32:12,14:45:02,0,1:12:50,72.83,0.005498064
41,1_Y17_7.csv,0.4175497,5/17/17,Friday Harbor,7,23,W02,5.99,14:11:57,15:15:07,0,1:03:10,63.17,0.006610285
50,2_A11_7.csv,0.030104461,4/11/17,Friday Harbor,7,5,W04,5.03,16:04:47,17:10:27,0:04:27,1:01:13,61.22,0.000491769
73,2_Y03_7.csv,0.241928295,5/3/17,Friday Harbor,7,26,W04,5.03,13:31:40,14:45:10,0,1:13:30,73.5,0.003291541
78,2_Y17_7.csv,0.241597369,5/17/17,Friday Harbor,7,23,W04,5.03,14:10:32,15:15:15,0,1:04:43,64.72,0.003733155
25,1_M21_4.csv,0.067681844,3/21/17,Friday Harbor,4,9,W05,5.75,12:14:11,13:15:51,0,1:01:40,61.67,0.001097543
7,1_A11_4.csv,-0.032850498,4/11/17,Friday Harbor,4,5,W05,5.75,14:21:17,15:20:37,0,0:59:20,59.33,-0.00055366
19,1_A25_4.csv,0.001425342,4/25/17,Friday Harbor,4,16,W05,5.75,12:42:49,13:44:59,0:02:50,0:59:20,59.33,2.40E-05
54,2_A18_3.csv,0.217461583,4/18/17,Friday Harbor,3,20,W07,5.22,12:28:54,13:40:24,0,1:11:30,71.5,0.003041421
33,1_Y03_3.csv,0.245016594,5/3/17,Friday Harbor,3,26,W07,5.22,9:54:35,11:10:05,0,1:15:30,75.5,0.003245253
55,2_A18_5.csv,0.024470374,4/18/17,Friday Harbor,5,20,W09,4.87,14:03:52,15:10:02,0,1:06:10,66.17,0.000369829
72,2_Y03_5.csv,0.596445437,5/3/17,Friday Harbor,5,26,W09,4.87,11:26:47,12:35:33,0,1:08:46,68.77,0.008673467
77,2_Y17_5.csv,0.470301436,5/17/17,Friday Harbor,5,23,W09,4.87,11:20:24,12:37:54,0,1:17:30,77.5,0.006068406
26,1_M21_6.csv,0.042132879,3/21/17,Friday Harbor,6,9,W10,5.86,13:46:43,14:40:43,0,0:54:00,54,0.000780238
2,1_A04_6.csv,-0.031302694,4/4/17,Friday Harbor,6,12,W10,5.86,13:39:32,14:45:10,0,1:05:38,65.63,-0.000476933
20,1_A25_6.csv,-0.042133111,4/25/17,Friday Harbor,6,16,W10,5.86,14:44:39,15:50:29,0,1:05:50,65.83,-0.000639997
6,1_A11_2.csv,0.272511082,4/11/17,Friday Harbor,2,5,W12,4.63,12:36:26,13:45:20,0,1:08:54,68.9,0.003955168
18,1_A25_2.csv,0.160689976,4/25/17,Friday Harbor,2,16,W12,4.63,9:52:23,11:00:23,0,1:08:00,68,0.002363088
39,1_Y17_2.csv,0.037119064,5/17/17,Friday Harbor,2,23,W12,4.63,10:02:34,11:10:14,0,1:07:40,67.67,0.000548558
92,3_A18_5.csv,0.156830651,4/18/17,Friday Harbor,5,20,W15,5.77,14:06:36,15:10:06,0,1:03:30,63.5,0.002469774
112,3_Y03_5.csv,0.216928889,5/3/17,Friday Harbor,5,26,W15,5.77,11:25:19,12:35:29,0,1:10:10,70.17,0.003091623
117,3_Y17_5.csv,0.507131111,5/17/17,Friday Harbor,5,23,W15,5.77,11:27:36,12:37:56,0,1:10:20,70.33,0.007210395
48,2_A11_2.csv,0.007876753,4/11/17,Friday Harbor,2,5,W17,5.46,12:35:56,13:45:10,0,1:09:14,69.23,0.000113771
59,2_A25_2.csv,0.323494625,4/25/17,Friday Harbor,2,16,W17,5.46,9:50:19,11:00:29,0,1:10:10,70.17,0.004610375
76,2_Y17_2.csv,0.669987169,5/17/17,Friday Harbor,2,23,W17,5.46,10:03:48,11:10:28,0,1:06:40,66.67,0.010049808
24,1_M21_1.csv,-0.046307768,3/21/17,Friday Harbor,1,9,W18,4.5,15:01:31,16:01:01,0,0:59:30,59.5,-0.000778282
1,1_A04_1.csv,0.124628067,4/4/17,Friday Harbor,1,12,W18,4.5,9:40:58,11:00:38,0,1:19:40,79.67,0.001564369
12,1_A18_1.csv,0.021507855,4/18/17,Friday Harbor,1,20,W18,4.5,9:32:00,10:40:00,0,1:08:00,68,0.000316292
104,3_M21_6.csv,-0.026783926,3/21/17,Friday Harbor,6,9,W20,5.07,13:44:11,14:40:41,0,0:56:30,56.5,-0.000474052
44,2_A04_6.csv,-0.022149097,4/4/17,Friday Harbor,6,12,W20,5.07,13:32:53,14:45:10,0,1:12:17,72.28,-0.000306421
61,2_A25_6.csv,0.184799858,4/25/17,Friday Harbor,6,16,W20,5.07,14:40:45,15:50:35,0,1:09:50,69.83,0.002646299
43,2_A04_3.csv,0.333291734,4/4/17,Friday Harbor,3,12,W21,5.7,11:19:17,12:26:07,0,1:06:50,66.83,0.004986909
13,1_A18_3.csv,0.795311116,4/18/17,Friday Harbor,3,20,W21,5.7,12:30:11,13:40:21,0,1:10:10,70.17,0.0113346
71,2_Y03_3.csv,0.046233283,5/3/17,Friday Harbor,3,26,W21,5.7,10:01:15,11:10:21,0,1:09:06,69.1,0.000669078
145,4_M21_6.csv,-0.006360693,3/21/17,Friday Harbor,6,9,W22,4.95,13:37:11,14:40:43,0,1:03:32,63.53,-0.000100116
81,3_A04_6.csv,0.489295897,4/4/17,Friday Harbor,6,12,W22,4.95,13:43:55,14:45:30,0,1:01:35,61.58,0.007945265
98,3_A25_6.csv,0.509949094,4/25/17,Friday Harbor,6,16,W22,4.95,14:50:57,15:50:37,0,0:59:40,59.67,0.008546633
103,3_M21_4.csv,0.063947517,3/21/17,Friday Harbor,4,9,W23,5.29,12:16:52,13:15:52,0,0:59:00,59,0.001083856
49,2_A11_4.csv,0.155159528,4/11/17,Friday Harbor,4,5,W23,5.29,14:19:45,15:20:35,0,1:00:50,60.83,0.002550568
60,2_A25_4.csv,0.02426732,4/25/17,Friday Harbor,4,16,W23,5.29,12:40:44,13:45:06,0,1:04:22,64.37,0.000377017
144,4_M21_4.csv,0.025853761,3/21/17,Friday Harbor,4,9,W24,4.8,12:15:14,13:15:44,0,1:00:30,60.5,0.000427335
85,3_A11_4.csv,0.089254809,4/11/17,Friday Harbor,4,5,W24,4.8,14:26:59,15:20:39,0,0:53:40,53.67,0.001663133
97,3_A25_4.csv,0.153108638,4/25/17,Friday Harbor,4,16,W24,4.8,12:40:40,13:45:09,0,1:04:29,64.48,0.002374391
86,3_A11_7.csv,0.193107545,4/11/17,Friday Harbor,7,5,W25,5.05,16:06:20,17:10:30,0,1:04:10,64.17,0.003009468
113,3_Y03_7.csv,0.248188357,5/3/17,Friday Harbor,7,26,W25,5.05,13:32:52,14:45:10,0,1:12:18,72.3,0.003432757
118,3_Y17_7.csv,0.440139512,5/17/17,Friday Harbor,7,23,W25,5.05,14:06:12,15:15:22,0,1:09:10,69.17,0.006363463
80,3_A04_3.csv,0.117991934,4/4/17,Friday Harbor,3,12,W27,4.7,11:18:25,12:26:25,0,1:08:00,68,0.001735176
91,3_A18_3.csv,0.218443846,4/18/17,Friday Harbor,3,20,W27,4.7,12:34:13,13:40:33,0,1:06:20,66.33,0.003293123
111,3_Y03_3.csv,0.454683716,5/3/17,Friday Harbor,3,26,W27,4.7,9:58:10,11:10:20,0,1:12:10,72.17,0.006300467
102,3_M21_1.csv,-0.019007294,3/21/17,Friday Harbor,1,9,W28,5.51,14:55:42,16:01:02,0:03:40,1:01:40,61.67,-0.000308226
42,2_A04_1.csv,-0.023905902,4/4/17,Friday Harbor,1,12,W28,5.51,9:50:00,11:00:40,0,1:10:40,70.67,-0.000338291
53,2_A18_1.csv,-0.000379128,4/18/17,Friday Harbor,1,20,W28,5.51,9:33:19,10:39:59,0,1:06:40,66.67,-5.69E-06
143,4_M21_1.csv,0.398834057,3/21/17,Friday Harbor,1,9,W29,5.51,14:57:53,16:01:03,0,1:03:10,63.17,0.006313996
79,3_A04_1.csv,0.450238192,4/4/17,Friday Harbor,1,12,W29,5.51,9:44:04,11:00:54,0,1:16:50,76.83,0.005859933
90,3_A18_1.csv,0.745129418,4/18/17,Friday Harbor,1,20,W29,5.51,9:26:57,10:40:07,0,1:13:10,73.17,0.010184001
84,3_A11_2.csv,-0.01785177,4/11/17,Friday Harbor,2,5,W30,5.6,12:35:56,13:45:10,0,1:09:14,69.23,-0.000257849
96,3_A25_2.csv,0.672589049,4/25/17,Friday Harbor,2,16,W30,5.6,9:50:56,11:00:36,0,1:09:40,69.67,0.009654388
116,3_Y17_2.csv,0.038729283,5/17/17,Friday Harbor,2,23,W30,5.6,10:05:29,11:10:29,0,1:05:00,65,0.000595835
