"Barnacle","operculum_length","AFDW","Date","Block","Temp","filename.x","filename.y","air_15min","total_aquat"
108,5.48,24.396,"17-Oct",6,10,"4_T17_10.csv","4_T17_AQ.csv",0.0882432201901912,1.92531027659743
108,5.48,24.396,"16-Nov",6,35,"4_N16_35.csv","4_N16_AQ.csv",0.158898940751735,2.13457483110217
108,5.48,24.396,"3-Nov",6,20,"3_N03_20.csv","3_N03_AQ2.csv",0.259260935898293,2.33085111345822
11,5.19,26.036,"25-Oct",2,25,"2_T25_25.csv","2_T25_AQ.csv",0.250953797385006,3.23008915206711
11,5.19,26.036,"11-Nov",2,35,"4_N11_35.csv","4_N11_AQ.csv",0.149870697416762,1.79363372529843
11,5.19,26.036,"12-Oct",2,15,"1_T11_15.csv","1_T11_AQ.csv",0.0924093343620046,2.2172767033523
112,5.95,23.994,"19-Oct",4,25,"3_T19_25.csv","3_T19_AQ.csv",0.234424374192288,3.87078319660162
112,5.95,23.994,"7-Nov",4,10,"4_N07_10.csv","4_N07_AQ.csv",0.0116347883933594,3.44159186675034
112,5.95,23.994,"18-Nov",4,35,"1_N18_35.csv","1_N18_AQ.csv",0.0999274512146079,1.43687404323688
14,5.51,35.564,"10-Nov",1,30,"1_N10_30.csv","1_N10_AQ.csv",0.21324397766881,2.7093043997167
14,5.51,35.564,"14-Oct",1,10,"3_T14_10.csv","3_T14_AQ.csv",0.1254618834077,2.7079853043728
14,5.51,35.564,"26-Oct",1,20,"1_T26_20.csv","1_T26_AQ.csv",0.260200115773579,3.29660708396639
2,5.15,20.82,"10-Nov",1,30,"3_N10_30.csv","3_N10_AQ.csv",0.145762289431262,2.68799386393525
2,5.15,20.82,"14-Oct",1,10,"1_T14_10.csv","1_T14_AQ.csv",0.0854029738750558,2.03174912969169
2,5.15,20.82,"26-Oct",1,20,"3_T26_20.csv","3_T26_AQ.csv",0.0746408719760238,1.73974215772889
20,5.11,21.804,"3-Nov",6,20,"1_N03_20.csv","1_N03_AQ2.csv",-0.0252279318825103,2.90703122591899
20,5.11,21.804,"17-Oct",6,10,"1_T17_10.csv","1_T17_AQ2.csv",0.00575966763935937,1.28162362053425
