,ID,Date,Temp,Pop.x,Block.x,Trial Time,fmins,Pop.y,Block.y,Run.By,Counted.by,Vial,Before,After,After_w_control,Dif,m,m_filter_400,m_filter_400_600,m_filter_500,m_filter_300,m_filter_300_700,m_filter_400_small,Activity.Description,Trial..,ctrl_dif,guess_control_before,guess_control_after,guess_time,a,a_ave,a_abs,feeding.st,sh_per_min,Population,OperculumLength,operc.scaled,shrimp.by.operc,shrimp.by.operc.scaled,feedrate
30,FHL19,7/21/17,5,FHL,2,,13.78333333,FHL,2,Xenia,Xenia,G,557,485,493.6,-72,0.008763602,0.008763602,0.008763602,0.008763602,0.008763602,0.008763602,0.008763602,N,1,-0.75,617.75,618.5,22.85,-5.31005E-05,-0.000420812,-8.6,-71.25,-5.169286579,Friday Harbor,4.02,13.11650709,-1.570142035,-0.481223464,5.169286579
19,FHL12,7/25/17,5,FHL,2,,14.86666667,FHL,2,Jaime,Xenia,Y,512,433,441.6,-79,0.009946167,0.009946167,0.009946167,0.009946167,0.009946167,0.009946167,0.009946167,N,2,,,,,,-0.000420812,-8.6,-78.25,-5.263452914,Friday Harbor,4.63,17.03432125,-0.871679145,-0.236926049,5.263452914
46,FHL29,8/3/17,5,FHL,5,,14.88333333,FHL,5,Jaime,Jaime,G,624,402,410.6,-222,0.028116888,0.028116888,,0.028116888,0.028116888,0.028116888,0.028116888,n/nr,1,,,,,,-0.000420812,-8.6,-221.25,-14.8656215,Friday Harbor,5.51,23.50338734,-2.609528029,-0.611762859,14.8656215
14,FHL09,8/3/17,5,FHL,5,,15.45,FHL,5,Jaime,NA,R,634,409,417.6,-225,0.027020586,0.027020586,,0.027020586,0.027020586,0.027020586,0.027020586,nr,1,,,,,,-0.000420812,-8.6,-224.25,-14.51456311,Friday Harbor,4.87,18.70374523,-2.884046703,-0.750935562,14.51456311
9,FHL06,8/3/17,5,FHL,5,,18.35,FHL,5,Jaime,Jaime,O,716,571,579.6,-145,0.01151504,0.01151504,,0.01151504,0.01151504,,,n/nr,1,,,,,,-0.000420812,-8.6,-144.25,-7.861035422,Friday Harbor,6.12,28.54237653,-1.219924846,-0.261573876,7.861035422
37,FHL23,7/21/17,5,FHL,2,,20.06666667,FHL,2,Xenia,Xenia,R,654,475,483.6,-179,0.015039873,0.015039873,,0.015039873,0.015039873,0.015039873,0.015039873,N,1,,,,,,-0.000420812,-8.6,-178.25,-8.882890364,Friday Harbor,5.29,21.79681275,-1.827556538,-0.443540723,8.882890364
54,FHL33,8/3/17,5,FHL,5,,20.61666667,FHL,5,Jaime,Jaime,B,576,399,407.6,-177,0.016771047,0.016771047,0.016771047,0.016771047,0.016771047,0.016771047,0.016771047,n/nr,1,,,,,,-0.000420812,-8.6,-176.25,-8.548908649,Friday Harbor,5.96,27.17725445,-1.375377754,-0.301621764,8.548908649
50,FHL31,7/21/17,5,FHL,2,,22.85,FHL,2,Xenia,Xenia,Y,669,608,616.6,-61,0.003567835,0.003567835,,0.003567835,0.003567835,0.003567835,0.003567835,N/NR,1,,,,,,-0.000420812,-8.6,-60.25,-2.636761488,Friday Harbor,4.36,15.24228245,-0.76285307,-0.218211373,2.636761488
17,FHL10,7/24/17,9,FHL,4,,5.366666667,FHL,4,Gretchen,Xenia,B,493,417,425.6,-76,0.027382627,,,,,,,n/f,1,-12.57,555,567.57,22.5,-0.000995377,-0.000420812,-8.6,-63.43,-11.81925466,Friday Harbor,5.86,26.33968577,-1.971466729,-0.438607929,11.81925466
2,FHL02,6/27/17,9,FHL,3,19,5.5,FHL ,3,Gretchen,Gretchen,Y,535,320,328.6,-215,0.088609685,,,,,,,N/F,1,,,,,,-0.000420812,-8.6,-202.43,-36.80545455,Friday Harbor,5.99,27.43087249,-5.979663075,-1.305761668,36.80545455
13,FHL08,7/24/17,9,FHL,4,,5.866666667,FHL,4,Gretchen,Xenia,G,606,523,531.6,-83,0.022319997,,,,,,,n,1,,,,,,-0.000420812,-8.6,-70.43,-12.00511364,Friday Harbor,5.96,27.17725445,-1.97338316,-0.432764967,12.00511364
23,FHL14,7/24/17,9,FHL,4,,11.08333333,FHL,4,Gretchen,Xenia,O,576,379,387.6,-197,0.035735865,0.035735865,0.035735865,0.035735865,0.035735865,0.035735865,0.035735865,n/nr,1,,,,,,-0.000420812,-8.6,-184.43,-16.64030076,Friday Harbor,5.37,22.41054553,-3.074725921,-0.736763778,16.64030076
42,FHL26,6/27/17,9,FHL,3,32,15,FHL ,3,Gretchen,Gretchen,R,539,330,338.6,-209,0.030988397,0.030988397,0.030988397,0.030988397,0.030988397,0.030988397,,N/F,1,,,,,,-0.000420812,-8.6,-196.43,-13.09533333,Friday Harbor,6.86,35.25328679,-1.85617104,-0.361195636,13.09533333
34,FHL21,6/27/17,9,FHL,3,53,22.5,FHL ,3,Gretchen,Gretchen,O,581,434,442.6,-147,0.012090252,0.012090252,0.012090252,0.012090252,0.012090252,0.012090252,0.012090252,N/F,1,,,,,,-0.000420812,-8.6,-134.43,-5.974666667,Friday Harbor,5.7,25.02467714,-1.005847953,-0.229107185,5.974666667
56,FHL34,6/23/17,12,FHL,1,19,3,FHL ,1,Gretchen,Xenia,RB,521,361,369.6,-160,0.114421482,,,,,,,N/F,1,-0.4,472,472.4,69,-1.22768E-05,-0.000420812,-8.6,-159.6,-53.2,Friday Harbor,4.03,13.17693293,-9.718775848,-2.972365943,53.2
28,FHL17,6/23/17,12,FHL,1,20,12.5,FHL ,1,Gretchen,Xenia,RY,499,284,292.6,-215,0.042697475,0.042697475,0.042697475,,0.042697475,0.042697475,0.042697475,N/F,1,,,,,,-0.000420812,-8.6,-214.6,-17.168,Friday Harbor,5.46,23.11034288,-2.527472527,-0.597135234,17.168
58,FHL35,8/9/17,12,FHL,8,,14.85,FHL,8,Jaime,Jaime,B,560,244,252.6,-316,0.053605088,0.053605088,0.053605088,,0.053605088,0.053605088,0.053605088,n/nr,1,,,,,,-0.000420812,-8.6,-315.6,-21.25252525,Friday Harbor,5.12,NA,NA,NA,21.25252525
48,FHL30,6/30/17,12,FHL,1,62,33,FHL ,1,Xenia,Xenia,G,363,280,288.6,-83,0.006947845,,,,0.006947845,0.006947845,,N/F,2,,,,,,-0.000420812,-8.6,-82.6,-2.503030303,Friday Harbor,5.6,24.21853395,-0.497835498,-0.115113441,2.503030303
52,FHL32,7/3/17,12,FHL,1,193,69,FHL,1,Xenia,Xenia,RO,417,83,91.6,-334,0.021962257,,,,,,,N/F,4,,,,,,-0.000420812,-8.6,-333.6,-4.834782609,Friday Harbor,6.74,34.12092598,-0.793446007,-0.156731564,4.834782609
40,FHL25,7/21/17,17,FHL,7,,5.183333333,FHL,7,Gretchen,Jaime,RR,714,529,537.6,-185,0.054737748,,,,,,,N,2,-22.5,579.375,601.875,49.43333333,-0.000770732,-0.000420812,-8.6,-162.5,-31.35048232,Friday Harbor,5.05,20.00271972,-5.883289294,-1.485328563,31.35048232
3,FHL02,7/26/17,17,FHL,3,,7.8,FHL,3,Xenia,Jaime,RB,542,288,296.6,-254,0.077282244,0.077282244,0.077282244,0.077282244,0.077282244,0.077282244,0.077282244,N/F,1,,,,,,-0.000420812,-8.6,-231.5,-29.67948718,Friday Harbor,5.99,27.43087249,-5.350798339,-1.168438301,29.67948718
18,FHL11,7/21/17,17,FHL,7,,10.2,FHL,7,Gretchen,Jaime,RO,617,449,457.6,-168,0.029296244,0.029296244,,0.029296244,0.029296244,0.029296244,0.029296244,N/F,2,,,,,,-0.000420812,-8.6,-145.5,-14.26470588,Friday Harbor,4.87,18.70374523,-2.757982043,-0.718111393,14.26470588
41,FHL26,7/26/17,17,FHL,3,,15.13333333,FHL,3,Xenia,Jaime,RO,526,159,167.6,-367,0.075566916,,,,,,,F,1,,,,,,-0.000420812,-8.6,-344.5,-22.76431719,Friday Harbor,6.86,35.25328679,-3.496615764,-0.680412703,22.76431719
45,FHL28,7/28/17,17,FHL,7,,17.95,FHL,7,Xenia,Jaime,RR,609,299,307.6,-310,0.038046842,0.038046842,,0.038046842,0.038046842,0.038046842,0.038046842,N,2,,,,,,-0.000420812,-8.6,-287.5,-16.01671309,Friday Harbor,5.51,23.50338734,-3.215222765,-0.753758477,16.01671309
6,FHL04,7/17/17,17,FHL,7,36,28.63333333,FHL,7,Xenia,Jaime,RO,530,296,304.6,-234,0.01934108,0.01934108,0.01934108,0.01934108,0.01934108,0.01934108,0.01934108,nr,1,,,,,,-0.000420812,-8.6,-211.5,-7.386495926,Friday Harbor,5.03,19.85641186,-1.228947618,-0.311315386,7.386495926
39,FHL24,7/17/17,17,FHL,7,49,43.03333333,FHL,7,Xenia,NA,RB,480,313,321.6,-167,0.009304502,0.009304502,0.009304502,,0.009304502,0.009304502,0.009304502,n,1,,,,,,-0.000420812,-8.6,-144.5,-3.357862123,Friday Harbor,4.8,18.20942738,-0.53253292,-0.14037553,3.357862123
35,FHL21,7/26/17,17,FHL,3,,49.43333333,FHL,3,Xenia,Jaime,RR,617,232,240.6,-385,0.019048574,0.019048574,,,0.019048574,0.019048574,0.019048574,F,1,,,,,,-0.000420812,-8.6,-362.5,-7.333108564,Friday Harbor,5.7,25.02467714,-1.352166661,-0.307989986,7.333108564
20,FHL12,6/23/17,20,FHL,2,57,6,FHL ,2,Gretchen,Gretchen,RY,463,235,243.6,-228,0.107017005,,,,,,,N/F,1,-7.9,468.1428571,476.0428571,31.9,-0.000524589,-0.000420812,-8.6,-220.1,-36.68333333,Friday Harbor,4.63,17.03432125,-7.379409647,-2.005754509,36.68333333
43,FHL27,7/13/17,20,FHL,6,36,6.85,FHL,6,Xenia,Gretchen,G,495,197,205.6,-298,0.128249594,,,,,,,N,1,,,,,,-0.000420812,-8.6,-290.1,-42.35036496,Friday Harbor,4.7,17.51382626,-8.883366982,-2.38393508,42.35036496
38,FHL23,6/23/17,20,FHL,2,56,9,FHL ,2,Gretchen,Xenia,RO,475,242,250.6,-233,0.071040222,0.071040222,0.071040222,,0.071040222,0.071040222,0.071040222,N/F,1,,,,,,-0.000420812,-8.6,-225.1,-25.01111111,Friday Harbor,5.29,21.79681275,-4.410838059,-1.070492902,25.01111111
31,FHL19,7/5/17,20,FHL,2,32,12.53333333,FHL,2,Xenia,Xenia,Y,387,233,241.6,-154,0.037583212,,,,0.037583212,0.037583212,,N/F,2,,,,,,-0.000420812,-8.6,-146.1,-11.6569149,Friday Harbor,4.02,13.11650709,-4.128294697,-1.265256411,11.6569149
24,FHL15,7/13/17,20,FHL,6,26,22.46666667,FHL,6,Xenia,Gretchen,O,535,394,402.6,-141,0.012652711,0.012652711,0.012652711,0.012652711,0.012652711,0.012652711,0.012652711,N,1,,,,,,-0.000420812,-8.6,-133.1,-5.924332343,Friday Harbor,5.77,25.59618582,-0.995119543,-0.224324038,5.924332343
51,FHL31,6/23/17,20,FHL,2,39,26,FHL ,2,Gretchen,Xenia,RG,480,391,399.6,-89,0.007048562,0.007048562,0.007048562,,0.007048562,0.007048562,0.007048562,N/F,1,,,,,,-0.000420812,-8.6,-81.1,-3.119230769,Friday Harbor,4.36,15.24228245,-0.582215949,-0.166540775,3.119230769
5,FHL03,7/13/17,20,FHL,6,37,31.9,FHL,6,Xenia,Gretchen,Y,442,350,358.6,-92,0.006552856,0.006552856,0.006552856,,0.006552856,0.006552856,0.006552856,N,1,,,,,,-0.000420812,-8.6,-84.1,-2.636363636,Friday Harbor,5.1,20.37064713,-0.491732743,-0.123110325,2.636363636
15,FHL09,7/12/17,23,FHL,5,61,9.633333333,FHL,5,Gretchen,Gretchen,G,441,261,269.6,-180,0.051074471,0.051074471,0.051074471,,0.051074471,0.051074471,0.051074471,N/F,1,-11.5,564.125,575.625,32,-0.000630642,-0.000420812,-8.6,-168.5,-17.49134948,Friday Harbor,4.87,18.70374523,-3.431787016,-0.893553808,17.49134948
21,FHL13,6/28/17,23,FHL,4,41,11,FHL ,4,Xenia,Xenia,B,529,357,365.6,-172,0.03358033,0.03358033,0.03358033,0.03358033,0.03358033,0.03358033,0.03358033,N/F,1,,,,,,-0.000420812,-8.6,-160.5,-14.59090909,Friday Harbor,4.78,18.06931166,-3.195131229,-0.845230165,14.59090909
10,FHL06,7/12/17,23,FHL,5,18,12.81666667,FHL,5,Gretchen,Jaime,O,523,321,329.6,-202,0.036017915,0.036017915,0.036017915,0.036017915,0.036017915,0.036017915,,N/F,1,,,,,,-0.000420812,-8.6,-190.5,-14.86345903,Friday Harbor,6.12,28.54237653,-2.333052857,-0.500248586,14.86345903
55,FHL33,7/12/17,23,FHL,5,17,14.61666667,FHL,5,Gretchen,Jaime,R,517,300,308.6,-217,0.035296692,0.035296692,0.035296692,0.035296692,0.035296692,0.035296692,0.035296692,N/F,1,,,,,,-0.000420812,-8.6,-205.5,-14.05929304,Friday Harbor,5.96,27.17725445,-2.27284902,-0.49843814,14.05929304
